rank,country,level,elo,from,to,league,season
1.0,ENG,1,2050.55444336,2024-05-20,2024-08-17,ENG-Premier League,2023-2024
4.0,ENG,1,1946.8795166,2024-05-23,2024-08-17,ENG-Premier League,2023-2024
7.0,ENG,1,1900.66357422,2024-05-20,2024-06-01,ENG-Premier League,2023-2024
18.0,ENG,1,1810.0970459,2024-05-25,2024-06-01,ENG-Premier League,2023-2024
20.0,ENG,1,1801.77685547,2024-05-25,2024-08-17,ENG-Premier League,2023-2024
24.0,ENG,1,1790.53527832,2024-05-27,2024-08-17,ENG-Premier League,2023-2024
26.0,ENG,1,1779.00744629,2024-05-30,2024-08-17,ENG-Premier League,2023-2024
29.0,ENG,1,1770.39440918,2024-05-30,2024-06-02,ENG-Premier League,2023-2024
36.0,ENG,1,1759.69396973,2024-05-26,2024-08-17,ENG-Premier League,2023-2024
41.0,ENG,1,1726.22692871,2024-05-20,2024-08-17,ENG-Premier League,2023-2024
45.0,ENG,1,1716.24890137,2024-05-20,2024-08-17,ENG-Premier League,2023-2024
48.0,ENG,1,1713.13891602,2024-05-27,2024-08-17,ENG-Premier League,2023-2024
49.0,ENG,1,1711.06018066,2024-05-20,2024-08-17,ENG-Premier League,2023-2024
51.0,ENG,1,1706.82666016,2024-05-26,2024-08-17,ENG-Premier League,2023-2024
60.0,ENG,1,1691.1027832,2024-05-25,2024-08-17,ENG-Premier League,2023-2024
64.0,ENG,1,1677.83105469,2024-05-27,2024-06-01,ENG-Premier League,2023-2024
77.0,ENG,1,1647.68554688,2024-05-27,2024-06-01,ENG-Premier League,2023-2024
,ENG,1,1611.23144531,2024-05-20,2024-08-25,ENG-Premier League,2023-2024
,ENG,1,1563.93591309,2024-05-20,2024-08-25,ENG-Premier League,2023-2024
,ENG,1,1517.15429688,2024-05-20,2024-08-25,ENG-Premier League,2023-2024
1.0,ENG,1,2069.97924805,2023-05-29,2023-06-07,ENG-Premier League,2022-2023
2.0,ENG,1,1943.3503418,2023-05-29,2023-06-07,ENG-Premier League,2022-2023
4.0,ENG,1,1915.81921387,2023-05-29,2023-06-07,ENG-Premier League,2022-2023
9.0,ENG,1,1872.45019531,2023-05-29,2023-06-04,ENG-Premier League,2022-2023
10.0,ENG,1,1870.08166504,2023-05-29,2023-06-04,ENG-Premier League,2022-2023
17.0,ENG,1,1824.61962891,2023-05-29,2023-06-03,ENG-Premier League,2022-2023
18.0,ENG,1,1824.44519043,2023-05-29,2023-06-03,ENG-Premier League,2022-2023
19.0,ENG,1,1820.78088379,2023-05-29,2023-06-03,ENG-Premier League,2022-2023
21.0,ENG,1,1812.32385254,2023-05-29,2023-06-03,ENG-Premier League,2022-2023
24.0,ENG,1,1784.5447998,2023-05-29,2023-06-04,ENG-Premier League,2022-2023
29.0,ENG,1,1768.10974121,2023-05-29,2023-06-07,ENG-Premier League,2022-2023
33.0,ENG,1,1753.84619141,2023-05-29,2023-06-02,ENG-Premier League,2022-2023
41.0,ENG,1,1733.08740234,2023-05-29,2023-06-07,ENG-Premier League,2022-2023
46.0,ENG,1,1721.5559082,2023-05-29,2023-06-03,ENG-Premier League,2022-2023
48.0,ENG,1,1715.48828125,2023-05-29,2023-06-03,ENG-Premier League,2022-2023
52.0,ENG,1,1704.68493652,2023-05-29,2023-06-03,ENG-Premier League,2022-2023
62.0,ENG,1,1670.41308594,2023-05-29,2023-06-07,ENG-Premier League,2022-2023
71.0,ENG,1,1657.08825684,2023-05-29,2023-06-02,ENG-Premier League,2022-2023
73.0,ENG,1,1655.51379395,2023-05-29,2023-06-02,ENG-Premier League,2022-2023
93.0,ENG,1,1623.66210938,2023-05-29,2023-06-04,ENG-Premier League,2022-2023
1.0,ENG,1,2035.03417969,2022-05-29,2022-08-06,ENG-Premier League,2021-2022
2.0,ENG,1,2025.12792969,2022-05-29,2022-08-07,ENG-Premier League,2021-2022
5.0,ENG,1,1899.03649902,2022-05-29,2022-08-06,ENG-Premier League,2021-2022
9.0,ENG,1,1866.62145996,2022-05-29,2022-08-06,ENG-Premier League,2021-2022
12.0,ENG,1,1851.46276855,2022-05-29,2022-08-05,ENG-Premier League,2021-2022
18.0,ENG,1,1810.7043457,2022-05-29,2022-08-07,ENG-Premier League,2021-2022
23.0,ENG,1,1782.92382812,2022-05-29,2022-08-07,ENG-Premier League,2021-2022
24.0,ENG,1,1779.33227539,2022-05-29,2022-08-07,ENG-Premier League,2021-2022
30.0,ENG,1,1760.09008789,2022-05-29,2022-07-30,ENG-Premier League,2021-2022
31.0,ENG,1,1756.9576416,2022-05-29,2022-08-03,ENG-Premier League,2021-2022
34.0,ENG,1,1753.9017334,2022-05-29,2022-08-05,ENG-Premier League,2021-2022
36.0,ENG,1,1740.57751465,2022-05-29,2022-08-06,ENG-Premier League,2021-2022
43.0,ENG,1,1725.11816406,2022-05-29,2022-08-06,ENG-Premier League,2021-2022
49.0,ENG,1,1714.31604004,2022-05-29,2022-07-21,ENG-Premier League,2021-2022
52.0,ENG,1,1703.28137207,2022-05-29,2022-08-02,ENG-Premier League,2021-2022
53.0,ENG,1,1698.96679688,2022-05-29,2022-08-02,ENG-Premier League,2021-2022
56.0,ENG,1,1683.77587891,2022-05-29,2022-07-01,ENG-Premier League,2021-2022
62.0,ENG,1,1671.65332031,2022-05-29,2022-08-06,ENG-Premier League,2021-2022
,ENG,1,1583.42932129,2022-05-29,2022-07-01,ENG-Premier League,2021-2022
,ENG,1,1575.63867188,2022-05-29,2022-07-01,ENG-Premier League,2021-2022
1.0,ENG,1,2012.76818848,2021-05-30,2021-08-15,ENG-Premier League,2020-2021
3.0,ENG,1,1940.19763184,2021-05-27,2021-08-14,ENG-Premier League,2020-2021
5.0,ENG,1,1925.87194824,2021-05-27,2021-08-14,ENG-Premier League,2020-2021
6.0,ENG,1,1923.20202637,2021-05-30,2021-08-14,ENG-Premier League,2020-2021
11.0,ENG,1,1866.67456055,2021-05-27,2021-08-13,ENG-Premier League,2020-2021
16.0,ENG,1,1831.75012207,2021-05-27,2021-08-15,ENG-Premier League,2020-2021
19.0,ENG,1,1810.99633789,2021-05-27,2021-07-21,ENG-Premier League,2020-2021
23.0,ENG,1,1801.89501953,2021-05-27,2021-07-22,ENG-Premier League,2020-2021
25.0,ENG,1,1783.74121094,2021-05-27,2021-08-14,ENG-Premier League,2020-2021
26.0,ENG,1,1771.19372559,2021-05-27,2021-08-14,ENG-Premier League,2020-2021
33.0,ENG,1,1747.11230469,2021-05-27,2021-07-28,ENG-Premier League,2020-2021
38.0,ENG,1,1738.54443359,2021-05-27,2021-07-29,ENG-Premier League,2020-2021
41.0,ENG,1,1724.89587402,2021-05-27,2021-07-29,ENG-Premier League,2020-2021
43.0,ENG,1,1720.88342285,2021-05-27,2021-07-28,ENG-Premier League,2020-2021
48.0,ENG,1,1709.37329102,2021-05-27,2021-07-16,ENG-Premier League,2020-2021
52.0,ENG,1,1700.75109863,2021-05-27,2021-07-16,ENG-Premier League,2020-2021
57.0,ENG,1,1693.30944824,2021-05-27,2021-07-16,ENG-Premier League,2020-2021
84.0,ENG,1,1627.00708008,2021-05-31,2021-06-03,ENG-Premier League,2020-2021
85.0,ENG,1,1623.86804199,2021-05-31,2021-06-03,ENG-Premier League,2020-2021
88.0,ENG,1,1618.41918945,2021-05-27,2021-06-06,ENG-Premier League,2020-2021
1.0,ENG,1,2026.43139648,2020-03-13,2020-06-21,ENG-Premier League,2019-2020
3.0,ENG,1,1975.79089355,2020-03-13,2020-06-17,ENG-Premier League,2019-2020
11.0,ENG,1,1851.97485352,2020-03-13,2020-06-17,ENG-Premier League,2019-2020
12.0,ENG,1,1825.25744629,2020-05-27,2020-06-21,ENG-Premier League,2019-2020
15.0,ENG,1,1803.66064453,2020-03-13,2020-06-11,ENG-Premier League,2019-2020
16.0,ENG,1,1802.5333252,2020-03-13,2020-06-11,ENG-Premier League,2019-2020
20.0,ENG,1,1798.41308594,2020-03-13,2020-06-12,ENG-Premier League,2019-2020
21.0,ENG,1,1784.2911377,2020-03-13,2020-06-20,ENG-Premier League,2019-2020
32.0,ENG,1,1737.55810547,2020-03-13,2020-06-07,ENG-Premier League,2019-2020
36.0,ENG,1,1726.61730957,2020-05-31,2020-06-03,ENG-Premier League,2019-2020
39.0,ENG,1,1711.14550781,2020-03-13,2020-06-22,ENG-Premier League,2019-2020
41.0,ENG,1,1706.29711914,2020-03-13,2020-06-11,ENG-Premier League,2019-2020
45.0,ENG,1,1693.29589844,2020-05-31,2020-06-03,ENG-Premier League,2019-2020
50.0,ENG,1,1682.66589355,2020-05-31,2020-06-12,ENG-Premier League,2019-2020
55.0,ENG,1,1679.32177734,2020-05-17,2020-06-03,ENG-Premier League,2019-2020
60.0,ENG,1,1674.08850098,2020-05-25,2020-06-03,ENG-Premier League,2019-2020
72.0,ENG,1,1640.24560547,2020-05-31,2020-06-02,ENG-Premier League,2019-2020
75.0,ENG,1,1638.36486816,2020-05-31,2020-06-05,ENG-Premier League,2019-2020
99.0,ENG,1,1602.37646484,2020-05-28,2020-06-17,ENG-Premier League,2019-2020
100.0,ENG,1,1600.69494629,2020-05-28,2020-06-16,ENG-Premier League,2019-2020
