home_team,away_team,BetMGM_away_win_odds,BetMGM_draw_odds,BetMGM_home_win_odds,BetOnline.ag_away_win_odds,BetOnline.ag_draw_odds,BetOnline.ag_home_win_odds,BetRivers_away_win_odds,BetRivers_draw_odds,BetRivers_home_win_odds,BetUS_away_win_odds,BetUS_draw_odds,BetUS_home_win_odds,Bovada_away_win_odds,Bovada_draw_odds,Bovada_home_win_odds,Caesars_away_win_odds,Caesars_draw_odds,Caesars_home_win_odds,DraftKings_away_win_odds,DraftKings_draw_odds,DraftKings_home_win_odds,FanDuel_away_win_odds,FanDuel_draw_odds,FanDuel_home_win_odds,LowVig.ag_away_win_odds,LowVig.ag_draw_odds,LowVig.ag_home_win_odds
Arsenal,Wolverhampton Wanderers,13.5,7.25,1.2,15.0,8.4,1.18,17.0,7.5,1.16,15.0,8.4,1.15,14.0,7.0,1.18,17.0,7.0,1.17,14.0,8.0,1.18,15.0,7.5,1.15,15.0,8.4,1.18
Brentford,Crystal Palace,2.85,3.4,2.4,2.9,3.45,2.5,2.88,3.4,2.43,2.95,3.35,2.4,2.95,3.35,2.4,2.9,3.4,2.35,2.95,3.4,2.45,2.95,3.4,2.4,2.9,3.45,2.5
Chelsea,Manchester City,1.83,4.0,3.9,1.88,3.9,4.05,1.85,3.8,3.95,1.87,3.95,3.85,1.87,3.95,3.85,1.8,4.0,4.0,1.87,3.9,3.95,1.87,3.9,3.9,1.88,3.9,4.05
Everton,Brighton and Hove Albion,,,,2.7,3.39,2.7,2.6,3.45,2.65,2.66,3.31,2.63,2.65,3.4,2.6,2.6,3.3,2.7,2.7,3.35,2.65,2.65,3.3,2.65,2.7,3.39,2.7
Ipswich Town,Liverpool,1.33,5.75,8.0,1.33,5.85,8.8,1.3,6.25,8.5,1.32,5.98,8.87,1.31,6.0,8.5,1.31,5.5,9.0,1.32,6.0,8.0,1.31,5.9,8.5,1.33,5.85,8.8
Leicester City,Tottenham Hotspur,1.62,4.2,4.8,1.62,4.35,5.25,1.56,4.5,5.25,1.57,4.5,5.2,1.57,4.5,5.2,1.59,4.2,5.25,1.57,4.4,5.25,1.57,4.5,5.5,1.62,4.35,5.25
Manchester United,Fulham,4.8,4.2,1.62,,,,5.5,4.1,1.6,4.95,4.15,1.64,4.8,4.1,1.67,5.25,4.2,1.59,4.9,4.1,1.67,5.2,4.0,1.67,,,
Newcastle United,Southampton,,,,8.38,5.67,1.35,8.5,5.8,1.32,8.0,5.75,1.33,8.0,5.75,1.33,9.0,5.25,1.31,8.0,5.75,1.32,8.0,5.7,1.32,8.38,5.67,1.35
Nottingham Forest,Bournemouth,2.8,3.4,2.45,2.95,3.46,2.46,2.88,3.45,2.43,2.85,3.5,2.4,2.85,3.5,2.4,2.85,3.5,2.35,2.95,3.35,2.45,2.9,3.4,2.4,2.95,3.46,2.46
West Ham United,Aston Villa,2.7,3.6,2.45,2.8,3.7,2.45,2.75,3.7,2.38,2.7,3.68,2.4,2.7,3.65,2.45,2.65,3.7,2.4,2.75,3.65,2.45,2.75,3.6,2.4,2.8,3.7,2.45
